siteid,fluxnetid,keyid,sitename,countryid,land_unit,status,latitude,longitude,year_began,network1,network2,network3,koeppen_climate,gtopo30_elevation,igbp_land_use,umd_land_cover,lai_fpar,npp_land_cover,plant_functional_type,network1_id
4117,PH-RIn,(null),Philippines Rice Institute not-flooded,Philippines,Australia/Oceania,Inactive,14.14503,121.26094,2009,European Unaffiliated,(null),(null),Am - Equatorial monsoon,(null),Cropland/Natural Vegetation Mosaic,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,40
4118,PL-Brd,(null),Brody,Poland,Europe,Active,52.434181,16.299523,2011,GHG-Europe (EU-FP7),(null),(null),Cfb - Warm temperate fully humid with warm summer,(null),Croplands,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,37
4119,PL-Tcz,(null),Tuczno,Poland,Europe,Active,53.19295,16.09748333,2011,European Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,(null),Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,40
4120,PT-Cor,(null),Coruche,Portugal,Europe,Active,39.13841389,-8.33268889,2009,IMECC (EU-FP6),(null),(null),"Csa - Warm temperate with dry, hot summer",(null),Woody Savannas,Woody Savannas,Savannah,Annual Grass Vegetation,Grass,32
4121,RU-Ndm,(null),Nadym,Russia,Asia,Inactive,65.185,72.525,2009,European Unaffiliated,(null),(null),Dfc - Snow fully humid cool summer,(null),Woody Savannas,Woody Savannas,Savannah,Deciduous Needleleaf Vegetation,Grass,40
4122,RU-UPo,(null),Ust Pojeg,Russia,Asia,Inactive,61.93412778,50.22690278,2008,European Unaffiliated,(null),(null),Dfc - Snow fully humid cool summer,(null),Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,40
4123,RU-Vrk,(null),Seida/Vorkuta,Russia,Asia,Active,67.05467987,62.94046783,2007,European Unaffiliated,(null),(null),Dfc - Snow fully humid cool summer,(null),Woody Savannas,Woody Savannas,Savannah,Annual Grass Vegetation,Grass,40
4124,SK-Ta1,(null),Tatra Jamy,Slovakia,Europe,Inactive,49.15833333,20.26111111,2005,CarboEurope-IP (EU-FP6),(null),(null),Dfc - Snow fully humid cool summer,(null),Cropland/Natural Vegetation Mosaic,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,7
4125,SK-Ta2,(null),Tatra Vysne Hagy,Slovakia,Europe,Inactive,49.12638889,20.10777778,2005,CarboEurope-IP (EU-FP6),(null),(null),Dfc - Snow fully humid cool summer,(null),Mixed Forests,Mixed Forests,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,7
4126,UA-Pet,(null),Petrodolinskoe,Ukraine,Asia,Inactive,46.45614,30.33609,2008,European Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,(null),Croplands,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,40
4127,UK-LBT,(null),London_BT,United Kingdom,Europe,Active,51.5215,-0.1389,2011,European Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,(null),Urban and Built-Up,Urban and Built-Up,Urban,Urban,Urban and built up,40
4128,ZA-Wgn,(null),Welgegund,South Africa,Africa,Inactive,-26.56944444,26.93916667,2010,European Unaffiliated,(null),(null),BSk - Arid Steppe cold,(null),Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,40
4129,CA-MA1,(null),Manitoba Agricultural Site 1: Oats-Canola-Oats,Canada,North America,Inactive,50.164472,-97.876222,(null),(null),(null),(null),Dfb - Snow fully humid warm summer,(null),Croplands,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,(null)
4130,CA-MA2,(null),Manitoba Agricultural Site 2: Hay converted-Oat-Fallow,Canada,North America,Inactive,50.170972,-97.876222,(null),(null),(null),(null),Dfb - Snow fully humid warm summer,(null),Cropland/Natural Vegetation Mosaic,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,(null)
4131,CA-MA3,(null),Manitoba Agricultural Site 3: Hay ,Canada,North America,Inactive,50.177444,-97.868639,(null),(null),(null),(null),Dfb - Snow fully humid warm summer,(null),Croplands,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,(null)
4132,CA-VSu,(null),Vancouver Sunset,Canada,North America,Active,49.2261,-123.0784,2008,Urban Fluxnet,(null),(null),Cfb - Warm temperate fully humid with warm summer,(null),Urban and Built-Up,Urban and Built-Up,Urban,Urban,Urban and built up,22
4133,CA-Wes,(null),Westham Island,Canada,North America,Inactive,49.0863,-123.1768,2007,Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,(null),Closed Shrublands,Closed Shrublands,Shrubs,Evergreen Needleleaf Vegetation,Shrub,19
4142,BE-Maa,(null),Maasmechelen,Belgium,Europe,Inactive,50.980444,5.631306,(null),European Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,(null),Woody Savannas,Woody Savannas,Savannah,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,40
4143,CZ-KrP,(null),Kresin u Pacova,Czech Republic,Europe,Active,49.573257,15.078773,2012,European Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,(null),Croplands,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,40
4144,DE-Bou,(null),Bourtanger Moor,Germany,Europe,Active,52.655284,7.183765,2011,European Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,(null),Woody Savannas,Woody Savannas,Savannah,Evergreen Needleleaf Vegetation,Shrub,40
4145,DE-Fen,(null),Fendt,Germany,Europe,Active,47.8329,11.0607,2010,European Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,(null),Cropland/Natural Vegetation Mosaic,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,40
4146,DE-GsB,(null),Grosses Bruch,Germany,Europe,Active,52.030067,11.103386,2012,European Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,(null),Croplands,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,40
4147,DE-Gwg,(null),Graswang,Germany,Europe,Inactive,47.57083,11.03261,(null),European Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,(null),Deciduous Broadleaf Forest,Deciduous Broadleaf Forest,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,40
4148,DE-HoH,(null),Hohes Holz,Germany,Europe,Active,52.085306,11.222233,2014,European Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,(null),Mixed Forests,Mixed Forests,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,40
4149,DE-Lkb,(null),Lackenberg,Germany,Europe,Active,49.09961667,13.30466667,2009,European Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,(null),Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,40
4150,DE-Msr,(null),Mooseurach,Germany,Europe,Active,47.80927,11.45791,2010,European Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,(null),Mixed Forests,Mixed Forests,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,40
4151,DE-RuR,(null),Rollesbroich,Germany,Europe,Active,50.6219142,6.3041256,2011,European Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,(null),Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,40
4152,DE-RuS,(null),Selhausen Juelich,Germany,Europe,Active,50.8659122,6.4471689,2011,European Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,(null),Urban and Built-Up,Urban and Built-Up,Urban,Urban,Urban and built up,40
4153,DE-RuW,(null),Wuestebach,Germany,Europe,Active,50.50490703,6.33101886,2010,European Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,(null),Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,40
4154,DE-SfN,(null),Schechenfilz Nord,Germany,Europe,Active,47.806389,11.3275,2010,European Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,(null),Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,40
4155,DK-RCW,(null),Risø Campus Willow ,Denmark,Europe,Active,55.680682,12.101398,2012,European Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,(null),Croplands,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,40
4156,ES-Gdn,(null),Guadiana,Spain,Europe,Inactive,37.910917,-3.228444,(null),European Unaffiliated,(null),(null),"Csa - Warm temperate with dry, hot summer",(null),Croplands,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,40
4157,IT-Isp,(null),Ispra ABC-IS ,Italy,Europe,Active,45.812643,8.633579,2013,European Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,(null),Woody Savannas,Woody Savannas,Savannah,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,40
4158,IT-PCm,(null),Parco Urbano di Capodimonte,Italy,Europe,Active,40.8741,14.2504,2014,European Unaffiliated,(null),(null),"Csa - Warm temperate with dry, hot summer",(null),Urban and Built-Up,Urban and Built-Up,Urban,Urban,Urban and built up,40
4159,IT-SR2,(null),San Rossore 2,Italy,Europe,Active,43.732026,10.290954,2013,European Unaffiliated,(null),(null),"Csa - Warm temperate with dry, hot summer",(null),Mixed Forests,Mixed Forests,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,40
4160,NO-Adv,(null),Adventdalen,Norway,Europe,Active,78.186,15.923,2011,European Unaffiliated,(null),(null),ET - Polar tundra,(null),Open Shrublands,Open Shrublands,Shrubs,Annual Broadleaf Vegetation,Shrub,40
4161,PL-Bdg,(null),Bydgoszcz,Poland,Europe,Active,53,17.96,2008,European Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,(null),Croplands,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,40
4162,PL-Wlw,(null),Wieclawice,Poland,Europe,Active,52.84,18.31,2010,European Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,(null),Croplands,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,40
4163,RU-SkP,(null),Spasskaya Pad larch,Russia,Asia,Active,62.255,129.168,2001,European Unaffiliated,(null),(null),Dfd - Snow fully humid extremely continental,(null),Deciduous Needleleaf Forest,Deciduous Needleleaf Forest,Deciduous Needleleaf Forest,Deciduous Needleleaf Vegetation,Deciduous Needleleaf Trees,40
4164,SE-Htm,(null),Hyltemossa,Sweden,Europe,Inactive,56.09763,13.41897,2015,European Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,(null),Mixed Forests,Mixed Forests,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,40
4165,SE-Lnn,(null),Lanna,Sweden,Europe,Inactive,58.34062958,13.10176754,(null),European Unaffiliated,(null),(null),Dfb - Snow fully humid warm summer,(null),Croplands,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,40
4166,SE-Sto,(null),Stordalen Palsa Bog (ICOS),Sweden,Europe,Inactive,68.35600281,19.04520988,(null),European Unaffiliated,(null),(null),ET - Polar tundra,(null),Permanent Wetlands,Savannas,Savannah,Evergreen Needleleaf Vegetation,Grass,40
4167,SE-Svb,(null),Svartberget,Sweden,Europe,Inactive,64.2561,19.77451,2015,European Unaffiliated,(null),(null),Dfc - Snow fully humid cool summer,(null),Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,40
4168,SN-Dhr,(null),Dahra,Senegal,Africa,Active,15.40278,-15.43222,2010,European Unaffiliated,(null),(null),BWh - Arid desert hot,(null),Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,40
4169,AU-ASM,(null),Alice Springs,Australia,Australia/Oceania,Active,-22.283,133.249,2010,OzFlux,(null),(null),BSh - Arid Steppe hot,(null),Open Shrublands,Open Shrublands,Shrubs,Evergreen Broadleaf Vegetation,Shrub,18
4170,AU-Cpr,(null),Calperum,Australia,Australia/Oceania,Active,-34.00206,140.58912,2010,OzFlux,(null),(null),BSk - Arid Steppe cold,(null),Closed Shrublands,Closed Shrublands,Shrubs,Annual Broadleaf Vegetation,Shrub,18
4171,AU-Cum,(null),Cumberland Plains,Australia,Australia/Oceania,Active,-33.613297,150.722466,2012,OzFlux,(null),(null),Cfa - Warm temperate fully humid with hot summer,(null),Woody Savannas,Woody Savannas,Savannah,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,18
4172,AU-Gin,(null),Gingin,Australia,Australia/Oceania,Active,-31.375,115.65,2011,OzFlux,(null),(null),"Csa - Warm temperate with dry, hot summer",(null),Woody Savannas,Woody Savannas,Savannah,Evergreen Broadleaf Vegetation,Shrub,18
4173,AU-Rgf,(null),Ridgefield,Australia,Australia/Oceania,Active,-32.506102,116.966827,2015,OzFlux,(null),(null),"Csa - Warm temperate with dry, hot summer",(null),Croplands,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,18
4174,AU-Rig,(null),Riggs Creek,Australia,Australia/Oceania,Active,-36.656,145.576,2011,OzFlux,(null),(null),Cfb - Warm temperate fully humid with warm summer,(null),Croplands,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,18
4175,AU-TTE,(null),Ti Tree East,Australia,Australia/Oceania,Active,-22.287,133.64,2012,OzFlux,(null),(null),BWh - Arid desert hot,(null),Open Shrublands,Open Shrublands,Shrubs,Annual Broadleaf Vegetation,Shrub,18
4176,AU-Whr,(null),Whroo,Australia,Australia/Oceania,Active,-36.6732,145.0294,2011,OzFlux,(null),(null),Cfb - Warm temperate fully humid with warm summer,(null),Woody Savannas,Woody Savannas,Savannah,Evergreen Broadleaf Vegetation,Shrub,18
4177,CL-SDF,(null),Senda Darwin Forest ,Chile,South America,Active,-41.883,-73.676,2013,Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,(null),Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,19
4178,CL-SDP,(null),Senda Darwin Peatland ,Chile,South America,Active,-41.879,-73.666,2013,Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,(null),Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,19
4179,FR-EM2,(null),Estrees-Mons A28,France,Europe,Active,49.87211,3.02065,2015,European Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,(null),Croplands,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,40
4180,CA-TPD,(null),ON-Turkey Point Deciduous,Canada,North America,Active,42.635312,-80.557561,2012,Canadian Carbon Program (CCP),(null),(null),Dfb - Snow fully humid warm summer,(null),Deciduous Broadleaf Forest,Deciduous Broadleaf Forest,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,3
4181,AQ-KSe,(null),King Sejong Station site ,Antarctica,Australia/Oceania,Active,-62.232115,-58.804321,2002,AsiaFlux,(null),(null),EF - Polar frost,(null),Water,Water,Water,Water,Water,2
4182,FI-Kmp,(null),Kumpala,Finland,Europe,Active,60.20288716,24.96104572,2005,European Unaffiliated,(null),(null),Dfb - Snow fully humid warm summer,(null),Urban and Built-Up,Urban and Built-Up,Urban,Urban,Urban and built up,40
4183,AU-Ync,(null),Australia Yanco site,Australia,Australia/Oceania,Active,-34.988282,146.291606,2012,AsiaFlux,(null),(null),BSk - Arid Steppe cold,(null),Croplands,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,2
4184,BD-Mym,(null),Mymensingh Flux Study Site,Bangladesh,Asia,Active,24.739348,90.426292,2006,AsiaFlux,(null),(null),Am - Equatorial monsoon,(null),Croplands,Croplands,Broadleaf Crops,Annual Broadleaf Vegetation,Broadleaf crop,2
4185,ID-Kan,(null),Kandistasari Research Site,Indonesia,Asia,Active,1,101.266667,2011,AsiaFlux,(null),(null),"Af - Equatorial rainforest, fully humid",(null),Cropland/Natural Vegetation Mosaic,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,2
4186,IN-Bet,(null),Betul Flux Research Site,India,Asia,Active,21.863011,77.426019,2012,AsiaFlux,(null),(null),As - Equatorial savannah with dry summer,(null),Woody Savannas,Woody Savannas,Savannah,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,2
4187,IN-Brk,(null),Barkot Flux Research Site,India,Asia,Active,30.110682,78.20343,2012,AsiaFlux,(null),(null),Cwa - Warm temperate with dry winter and hot summer,(null),Mixed Forests,Mixed Forests,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,2
4188,IN-Hdw,(null),Haldwani Forest Plantation,India,Asia,Active,29.149319,79.421103,2012,AsiaFlux,(null),(null),Cwa - Warm temperate with dry winter and hot summer,(null),Woody Savannas,Woody Savannas,Savannah,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,2
4189,IN-IAR,(null),IARI Flux Site,India,Asia,Active,28.643839,77.152712,2013,AsiaFlux,(null),(null),BSh - Arid Steppe hot,(null),Urban and Built-Up,Urban and Built-Up,Urban,Urban,Urban and built up,2
4190,JP-Aou,(null),Akou green belt,Japan,Asia,Active,34.786316,134.370861,1993,AsiaFlux,(null),(null),Cfa - Warm temperate fully humid with hot summer,(null),Mixed Forests,Mixed Forests,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,2
4191,JP-APP,(null),Appi forest meteorology research site,Japan,Asia,Active,40.022356,140.939255,2000,AsiaFlux,(null),(null),Dfa - Snow with fully humid hot summer,(null),Mixed Forests,Mixed Forests,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,2
4192,JP-Bre,(null),National Livestock Breeding Center Niikappu Station,Japan,Asia,Active,42.4,142.466667,2007,AsiaFlux,(null),(null),Dfb - Snow fully humid warm summer,(null),Cropland/Natural Vegetation Mosaic,Mixed Forests,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,2
4193,JP-Das,(null),Dasan Station site,Japan,Asia,Active,78.916667,11.933333,2003,AsiaFlux,(null),(null),ET - Polar tundra,(null),Snow and Ice,Barren or Sparsely Vegetated,Unvegetated,Non-Vegetated Land,Snow and Ice,2
4194,JP-FHK,(null),Fuji Hokuroku Flux Observation Site,Japan,Asia,Active,35.443528,138.764722,2006,AsiaFlux,(null),(null),Dfb - Snow fully humid warm summer,(null),Mixed Forests,Mixed Forests,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,2
4195,JP-Fsk,(null),Fujisaki Farm Apple Orchard,Japan,Asia,Active,40.654722,140.485278,2006,AsiaFlux,(null),(null),Cfa - Warm temperate fully humid with hot summer,(null),Croplands,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,2
4196,JP-Kar,(null),Karuizawa,Japan,Asia,Active,36.4,138.583333,2002,AsiaFlux,(null),(null),Dfb - Snow fully humid warm summer,(null),Mixed Forests,Mixed Forests,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,2
4197,JP-KEW,(null),Kiryu Experiment Watershed,Japan,Asia,Active,34.963611,135.994444,2001,AsiaFlux,(null),(null),Cfa - Warm temperate fully humid with hot summer,(null),Mixed Forests,Mixed Forests,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,2
4198,JP-Kob,(null),Kobayashi,Japan,Asia,Active,31.966667,130.933333,2004,AsiaFlux,(null),(null),Cfa - Warm temperate fully humid with hot summer,(null),Mixed Forests,Mixed Forests,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,2
4199,JP-Nae,(null),Naeba Beech Forest Research Site,Japan,Asia,Active,36.891703,138.766823,2009,AsiaFlux,(null),(null),Dfb - Snow fully humid warm summer,(null),Mixed Forests,Mixed Forests,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,2
4200,JP-NFT,(null),National Institute of Fruit Tree Science,Japan,Asia,Active,36.05132,140.099316,1997,AsiaFlux,(null),(null),Cfa - Warm temperate fully humid with hot summer,(null),Woody Savannas,Woody Savannas,Savannah,Annual Grass Vegetation,Grass,2
4201,JP-Nks,(null),Nakashibetu Station  NLBC,Japan,Asia,Active,43.54606,144.966545,2004,AsiaFlux,(null),(null),Dfc - Snow fully humid cool summer,(null),Woody Savannas,Woody Savannas,Savannah,Annual Grass Vegetation,Grass,2
4202,JP-Nsu,(null),National Institute of Livestock and Grassland Science Nasu Research Station,Japan,Asia,Active,36.925743,139.967766,2004,AsiaFlux,(null),(null),Cfa - Warm temperate fully humid with hot summer,(null),Croplands,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,2
4203,JP-Ooz,(null),Ooizumi Urban Park,Japan,Asia,Active,34.563469,135.533483,2015,AsiaFlux,(null),(null),Cfa - Warm temperate fully humid with hot summer,(null),Urban and Built-Up,Urban and Built-Up,Urban,Urban,Urban and built up,2
4204,JP-Sak,(null),Sakai City Office,Japan,Asia,Active,34.573402,135.483013,2008,AsiaFlux,(null),(null),Cfa - Warm temperate fully humid with hot summer,(null),Urban and Built-Up,Urban and Built-Up,Urban,Urban,Urban and built up,2
4205,JP-Sap,(null),Sapporo forest meteorology research site,Japan,Asia,Active,42.986836,141.385288,1999,AsiaFlux,(null),(null),Dfb - Snow fully humid warm summer,(null),Mixed Forests,Mixed Forests,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,2
4206,JP-Sim,(null),Simotsuma Japanese pear orchard,Japan,Asia,Active,36.211361,139.947389,2007,AsiaFlux,(null),(null),Cfa - Warm temperate fully humid with hot summer,(null),Woody Savannas,Woody Savannas,Savannah,Annual Grass Vegetation,Shrub,2
4207,JP-Srk,(null),Shirakami Beech Forest Site,Japan,Asia,Active,40.565556,140.127778,2008,AsiaFlux,(null),(null),Cfa - Warm temperate fully humid with hot summer,(null),Mixed Forests,Mixed Forests,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,2
4208,JP-Szn,(null),Hokkaido University Shizunai Livestock Farm,Japan,Asia,Active,42.407267,142.475696,2004,AsiaFlux,(null),(null),Dfb - Snow fully humid warm summer,(null),Cropland/Natural Vegetation Mosaic,Croplands,Broadleaf Crops,Annual Broadleaf Vegetation,Broadleaf crop,2
4209,JP-Ta2,(null),Takayama evergreen coniferous forest site,Japan,Asia,Active,36.139722,137.370833,2005,AsiaFlux,(null),(null),Dfb - Snow fully humid warm summer,(null),Mixed Forests,Mixed Forests,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,2
4210,JP-TEF,(null),CC-LaG Teshio Experimental Forest,Japan,Asia,Active,45.0558,142.1073,2001,AsiaFlux,(null),(null),Dfb - Snow fully humid warm summer,(null),Mixed Forests,Mixed Forests,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,2
4211,KR-Ceo,(null),Cheongmicheon Farmlanbd Site,South Korea,Asia,Active,37.15979,127.652729,2008,AsiaFlux,(null),(null),Dwa - Snow dry winter hot summer,(null),Croplands,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,2
4212,KR-Gmj,(null),Gimje Rice paddy,South Korea,Asia,Active,35.745328,126.852522,2011,AsiaFlux,(null),(null),Cfa - Warm temperate fully humid with hot summer,(null),Urban and Built-Up,Urban and Built-Up,Urban,Urban,Urban and built up,2
4213,KR-Hae,(null),KoFlux Haenam site,South Korea,Asia,Active,34.5536,126.5643,2002,AsiaFlux,(null),(null),Cfa - Warm temperate fully humid with hot summer,(null),Croplands,Croplands,Broadleaf Crops,Annual Broadleaf Vegetation,Broadleaf crop,2
4214,KR-Kw2,(null),Gwangneung Deciduous site (GDK),South Korea,Asia,Active,37.75,127.15,2002,AsiaFlux,(null),(null),Dwa - Snow dry winter hot summer,(null),Mixed Forests,Mixed Forests,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,2
4215,KR-Seo,(null),KoFlux Seolmacheon site,South Korea,Asia,Active,37.93885,126.9547,2007,AsiaFlux,(null),(null),Dwa - Snow dry winter hot summer,(null),Deciduous Broadleaf Forest,Deciduous Broadleaf Forest,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,2
4217,MN-Knt,(null),Southern Khentei Taiga,Mongolia,Asia,Active,48.351861,108.654333,2004,AsiaFlux,(null),(null),Dwc - Snow dry winter cool summer,(null),Croplands,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,2
4218,MY-Cer,(null),Cermat Ceria Betong,Malaysia,Asia,Active,1.400444,111.398333,2011,AsiaFlux,(null),(null),"Af - Equatorial rainforest, fully humid",(null),Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,2
4219,MY-Lam,(null),Lambir Hills National Park,Malaysia,Asia,Active,4.2,114.033333,(null),AsiaFlux,(null),(null),"Af - Equatorial rainforest, fully humid",(null),Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,2
4220,MY-Mud,(null),Maludam,Malaysia,Asia,Active,1.482989,111.153374,2011,AsiaFlux,(null),(null),"Af - Equatorial rainforest, fully humid",(null),Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,2
4221,MY-PSO,(null),Pasoh Forest Reserve,Malaysia,Asia,Active,2.973,102.3062,2002,AsiaFlux,(null),(null),"Af - Equatorial rainforest, fully humid",(null),Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,2
4222,MY-Sbu,(null),Sibu Station,Malaysia,Asia,Active,2.186667,111.84325,2011,AsiaFlux,(null),(null),"Af - Equatorial rainforest, fully humid",(null),Cropland/Natural Vegetation Mosaic,Woody Savannas,Savannah,Annual Grass Vegetation,Grass,2
4223,RU-Tur,(null),Tura,Russia,Asia,Active,64.208888,100.463555,2004,AsiaFlux,(null),(null),Dfc - Snow fully humid cool summer,(null),Woody Savannas,Woody Savannas,Savannah,Deciduous Needleleaf Vegetation,Grass,2
4224,TH-Bue,(null),Rubber Flux Bueng Kan,Thailand,Asia,Active,18.239134,103.320122,2012,AsiaFlux,(null),(null),Aw - Equatorial savannah with dry winter,(null),Woody Savannas,Woody Savannas,Savannah,Annual Grass Vegetation,Grass,2
