id,longitude,latitude,date,Fpar,FparLai_QC,product
2011_07_16,8.36497717843,47.4780738066,2011-07-16,83,34,MODIS/006/MCD15A3H
2011_07_20,8.36497717843,47.4780738066,2011-07-20,88,97,MODIS/006/MCD15A3H
2011_07_24,8.36497717843,47.4780738066,2011-07-24,90,32,MODIS/006/MCD15A3H
2011_07_28,8.36497717843,47.4780738066,2011-07-28,100,97,MODIS/006/MCD15A3H
2011_08_01,8.36497717843,47.4780738066,2011-08-01,89,34,MODIS/006/MCD15A3H
2011_08_05,8.36497717843,47.4780738066,2011-08-05,75,16,MODIS/006/MCD15A3H
2011_08_09,8.36497717843,47.4780738066,2011-08-09,88,34,MODIS/006/MCD15A3H
2011_08_13,8.36497717843,47.4780738066,2011-08-13,92,34,MODIS/006/MCD15A3H
2011_08_17,8.36497717843,47.4780738066,2011-08-17,93,32,MODIS/006/MCD15A3H
2011_08_21,8.36497717843,47.4780738066,2011-08-21,84,34,MODIS/006/MCD15A3H
2011_08_25,8.36497717843,47.4780738066,2011-08-25,91,34,MODIS/006/MCD15A3H
2011_08_29,8.36497717843,47.4780738066,2011-08-29,94,32,MODIS/006/MCD15A3H
2011_09_02,8.36497717843,47.4780738066,2011-09-02,90,40,MODIS/006/MCD15A3H
2011_09_06,8.36497717843,47.4780738066,2011-09-06,90,48,MODIS/006/MCD15A3H
2011_09_10,8.36497717843,47.4780738066,2011-09-10,91,32,MODIS/006/MCD15A3H
2011_09_14,8.36497717843,47.4780738066,2011-09-14,72,2,MODIS/006/MCD15A3H
2011_09_18,8.36497717843,47.4780738066,2011-09-18,91,32,MODIS/006/MCD15A3H
2011_09_22,8.36497717843,47.4780738066,2011-09-22,93,32,MODIS/006/MCD15A3H
2011_09_26,8.36497717843,47.4780738066,2011-09-26,89,32,MODIS/006/MCD15A3H
2011_09_30,8.36497717843,47.4780738066,2011-09-30,92,34,MODIS/006/MCD15A3H
2011_10_04,8.36497717843,47.4780738066,2011-10-04,91,32,MODIS/006/MCD15A3H
2011_10_08,8.36497717843,47.4780738066,2011-10-08,85,2,MODIS/006/MCD15A3H
2011_10_12,8.36497717843,47.4780738066,2011-10-12,90,32,MODIS/006/MCD15A3H
2011_10_16,8.36497717843,47.4780738066,2011-10-16,76,0,MODIS/006/MCD15A3H
2011_10_20,8.36497717843,47.4780738066,2011-10-20,88,0,MODIS/006/MCD15A3H
2011_10_24,8.36497717843,47.4780738066,2011-10-24,62,0,MODIS/006/MCD15A3H
2011_10_28,8.36497717843,47.4780738066,2011-10-28,72,2,MODIS/006/MCD15A3H
2011_11_01,8.36497717843,47.4780738066,2011-11-01,57,18,MODIS/006/MCD15A3H
2011_11_05,8.36497717843,47.4780738066,2011-11-05,34,2,MODIS/006/MCD15A3H
2011_11_09,8.36497717843,47.4780738066,2011-11-09,58,2,MODIS/006/MCD15A3H
2011_11_13,8.36497717843,47.4780738066,2011-11-13,44,67,MODIS/006/MCD15A3H
2011_11_17,8.36497717843,47.4780738066,2011-11-17,72,16,MODIS/006/MCD15A3H
2011_11_21,8.36497717843,47.4780738066,2011-11-21,52,0,MODIS/006/MCD15A3H
2011_11_25,8.36497717843,47.4780738066,2011-11-25,36,0,MODIS/006/MCD15A3H
2011_11_29,8.36497717843,47.4780738066,2011-11-29,35,8,MODIS/006/MCD15A3H
2011_12_03,8.36497717843,47.4780738066,2011-12-03,5,73,MODIS/006/MCD15A3H
2011_12_07,8.36497717843,47.4780738066,2011-12-07,8,73,MODIS/006/MCD15A3H
2011_12_11,8.36497717843,47.4780738066,2011-12-11,2,75,MODIS/006/MCD15A3H
2011_12_15,8.36497717843,47.4780738066,2011-12-15,1,73,MODIS/006/MCD15A3H
2011_12_19,8.36497717843,47.4780738066,2011-12-19,1,75,MODIS/006/MCD15A3H
2011_12_23,8.36497717843,47.4780738066,2011-12-23,43,67,MODIS/006/MCD15A3H
2011_12_27,8.36497717843,47.4780738066,2011-12-27,38,75,MODIS/006/MCD15A3H
2011_12_31,8.36497717843,47.4780738066,2011-12-31,37,65,MODIS/006/MCD15A3H
2012_01_01,8.36497717843,47.4780738066,2012-01-01,57,67,MODIS/006/MCD15A3H
2012_01_05,8.36497717843,47.4780738066,2012-01-05,1,73,MODIS/006/MCD15A3H
2012_01_09,8.36497717843,47.4780738066,2012-01-09,3,73,MODIS/006/MCD15A3H
2012_01_13,8.36497717843,47.4780738066,2012-01-13,61,2,MODIS/006/MCD15A3H
2012_01_17,8.36497717843,47.4780738066,2012-01-17,57,2,MODIS/006/MCD15A3H
2012_01_21,8.36497717843,47.4780738066,2012-01-21,39,2,MODIS/006/MCD15A3H
2012_01_25,8.36497717843,47.4780738066,2012-01-25,0,73,MODIS/006/MCD15A3H
2012_01_29,8.36497717843,47.4780738066,2012-01-29,1,105,MODIS/006/MCD15A3H
2012_02_02,8.36497717843,47.4780738066,2012-02-02,9,0,MODIS/006/MCD15A3H
2012_02_06,8.36497717843,47.4780738066,2012-02-06,14,105,MODIS/006/MCD15A3H
2012_02_10,8.36497717843,47.4780738066,2012-02-10,10,107,MODIS/006/MCD15A3H
2012_02_14,8.36497717843,47.4780738066,2012-02-14,1,105,MODIS/006/MCD15A3H
2012_02_18,8.36497717843,47.4780738066,2012-02-18,9,0,MODIS/006/MCD15A3H
2012_02_22,8.36497717843,47.4780738066,2012-02-22,56,10,MODIS/006/MCD15A3H
2012_02_26,8.36497717843,47.4780738066,2012-02-26,52,18,MODIS/006/MCD15A3H
2012_03_01,8.36497717843,47.4780738066,2012-03-01,52,2,MODIS/006/MCD15A3H
2012_03_05,8.36497717843,47.4780738066,2012-03-05,48,18,MODIS/006/MCD15A3H
2012_03_09,8.36497717843,47.4780738066,2012-03-09,55,0,MODIS/006/MCD15A3H
2012_03_13,8.36497717843,47.4780738066,2012-03-13,48,0,MODIS/006/MCD15A3H
2012_03_17,8.36497717843,47.4780738066,2012-03-17,38,16,MODIS/006/MCD15A3H
2012_03_21,8.36497717843,47.4780738066,2012-03-21,54,0,MODIS/006/MCD15A3H
2012_03_25,8.36497717843,47.4780738066,2012-03-25,54,2,MODIS/006/MCD15A3H
2012_03_29,8.36497717843,47.4780738066,2012-03-29,53,0,MODIS/006/MCD15A3H
2012_04_02,8.36497717843,47.4780738066,2012-04-02,51,0,MODIS/006/MCD15A3H
2012_04_06,8.36497717843,47.4780738066,2012-04-06,2,105,MODIS/006/MCD15A3H
2012_04_10,8.36497717843,47.4780738066,2012-04-10,33,107,MODIS/006/MCD15A3H
2012_04_14,8.36497717843,47.4780738066,2012-04-14,4,107,MODIS/006/MCD15A3H
2012_04_18,8.36497717843,47.4780738066,2012-04-18,16,105,MODIS/006/MCD15A3H
2012_04_22,8.36497717843,47.4780738066,2012-04-22,42,10,MODIS/006/MCD15A3H
2012_04_26,8.36497717843,47.4780738066,2012-04-26,60,2,MODIS/006/MCD15A3H
2012_04_30,8.36497717843,47.4780738066,2012-04-30,60,2,MODIS/006/MCD15A3H
2012_05_04,8.36497717843,47.4780738066,2012-05-04,91,34,MODIS/006/MCD15A3H
2012_05_08,8.36497717843,47.4780738066,2012-05-08,82,32,MODIS/006/MCD15A3H
2012_05_12,8.36497717843,47.4780738066,2012-05-12,87,32,MODIS/006/MCD15A3H
2012_05_16,8.36497717843,47.4780738066,2012-05-16,88,99,MODIS/006/MCD15A3H
2012_05_20,8.36497717843,47.4780738066,2012-05-20,89,97,MODIS/006/MCD15A3H
2012_05_24,8.36497717843,47.4780738066,2012-05-24,58,18,MODIS/006/MCD15A3H
2012_05_28,8.36497717843,47.4780738066,2012-05-28,91,32,MODIS/006/MCD15A3H
2012_06_01,8.36497717843,47.4780738066,2012-06-01,74,0,MODIS/006/MCD15A3H
2012_06_05,8.36497717843,47.4780738066,2012-06-05,92,99,MODIS/006/MCD15A3H
2012_06_09,8.36497717843,47.4780738066,2012-06-09,19,107,MODIS/006/MCD15A3H
2012_06_13,8.36497717843,47.4780738066,2012-06-13,92,99,MODIS/006/MCD15A3H
2012_06_17,8.36497717843,47.4780738066,2012-06-17,92,99,MODIS/006/MCD15A3H
2012_06_21,8.36497717843,47.4780738066,2012-06-21,93,97,MODIS/006/MCD15A3H
